query,intent,predicted_intent,is_match
similar glitch-print parka,similar_items,similar_items,1
replacement for this tactical crossbody,similar_items,similar_items,1
off-brand LED sneakers,similar_items,similar_items,1
knockoff chrome bomber,similar_items,similar_items,1
what pants go with this holo bomber,graph_pairing,graph_pairing,1
need a top for these tech cargos,graph_pairing,graph_pairing,1
which boots work with this neon trench,graph_pairing,graph_pairing,1
gear to wear with this visor hoodie,graph_pairing,graph_pairing,1
what bag pairs with these cyber sneakers,graph_pairing,graph_pairing,1
layer ideas for this mesh tech tee,graph_pairing,graph_pairing,1
accessories for this dystopia fit,graph_pairing,graph_pairing,1
what should I throw on with this reflective jacket,graph_pairing,graph_pairing,1
pick gloves for this street ninja look,graph_pairing,graph_pairing,1
what to rock with this circuit-print skirt,graph_pairing,graph_pairing,1
got this in black?,color_variant,color_variant,1
same jacket in acid green,color_variant,color_variant,1
need the silver version,color_variant,color_variant,1
show this hoodie in midnight blue,color_variant,color_variant,1
red colorway for these kicks,color_variant,color_variant,1
is there a white one,color_variant,color_variant,1
this vest but in gunmetal,color_variant,color_variant,1
lemme see it in purple,color_variant,color_variant,1
olive variant pls,color_variant,color_variant,1
can I get this exact piece in orange,color_variant,color_variant,1
yo,chit_chat,chit_chat,1
sup,chit_chat,chit_chat,1
where my package at,chit_chat,chit_chat,1
any rain today,chit_chat,chit_chat,1
lmao beep boop noodle,chit_chat,chit_chat,1
hey fam,chit_chat,chit_chat,1
track my order rq,chit_chat,chit_chat,1
you awake,chit_chat,chit_chat,1
drip level over 9000,chit_chat,chit_chat,1
what time is it,chit_chat,chit_chat,1
find a cheaper dupe for this neon parka and boots to go with it,composite_intent,composite_intent,1
show me pieces like this visor cap but in red,composite_intent,composite_intent,1
got this exact shell in black to wear with my tech cargos,composite_intent,composite_intent,1
need a budget version of this chest rig in white,composite_intent,composite_intent,1
"same vibe as this chrome bomber, plus pants that fit the look",composite_intent,composite_intent,1
can you pull a navy version of this hoodie and a bag to match,composite_intent,composite_intent,1
"cheaper alt for these LED boots, also what jacket works with them",composite_intent,composite_intent,1
lookalikes of this mesh top in lime and a skirt that goes with it,composite_intent,composite_intent,1
black version of this utility vest and gloves to style with it,composite_intent,composite_intent,1
"budget copy of this trench in silver, then show me shades for the fit",composite_intent,composite_intent,1
boxy zip hoodie,similar_items,similar_items,1
dupe for this cargo set,similar_items,similar_items,1
cheaper alt for these skate sneakers,similar_items,similar_items,1
oversized graff tee,similar_items,similar_items,1
lookalike for this nylon bomber,similar_items,similar_items,1
budget verison of this crossbody,similar_items,similar_items,1
baggy parachute pants,similar_items,similar_items,1
replacement for this beanie,similar_items,similar_items,1
offbrand of this varsity jacket,similar_items,similar_items,1
similar to this chain wallet,similar_items,similar_items,1
what kicks go with this hoodie,graph_pairing,graph_pairing,1
pants for this streetwear tee,graph_pairing,graph_pairing,1
how do i style this puffer,graph_pairing,graph_pairing,1
hat to wear w these cargos,graph_pairing,graph_pairing,1
layer over this tank pls,graph_pairing,graph_pairing,1
what bag works w this fit,graph_pairing,graph_pairing,1
jewelry for this bomber look,graph_pairing,graph_pairing,1
what to rock with these dunks,graph_pairing,graph_pairing,1
shorts that pair w this jersey,graph_pairing,graph_pairing,1
fit ideas for this flannel,graph_pairing,graph_pairing,1
same hoodie in olive,color_variant,color_variant,1
can i see the grey one,color_variant,color_variant,1
navy version plz,color_variant,color_variant,1
this tee but cream,color_variant,color_variant,1
show burgundy colorway,color_variant,color_variant,1
do these come in white,color_variant,color_variant,1
need it in neon green,color_variant,color_variant,1
purple pair avalible?,color_variant,color_variant,1
same exact cap in brown,color_variant,color_variant,1
hii u there,chit_chat,chit_chat,1
wheres my package at,chit_chat,chit_chat,1
is it raining today lol,chit_chat,chit_chat,1
sup bro,chit_chat,chit_chat,1
my tracking aint moving,chit_chat,chit_chat,1
blip blop street pickle,chit_chat,chit_chat,1
can u hurry my order,chit_chat,chit_chat,1
good mornin,chit_chat,chit_chat,1
skrr skrr neon potato,chit_chat,chit_chat,1
find a cheaper dupe for this windbreaker and what pants go w it,composite_intent,composite_intent,1
same kinda hoodie but in red,composite_intent,composite_intent,1
got this cap in black to wear w my grey set?,composite_intent,composite_intent,1
show me lookalikes of these trainers plus socks for em,composite_intent,composite_intent,1
budget version of this chain in silver and what tee fits it,composite_intent,composite_intent,1
need cargos like this but darker and a jacket for em,composite_intent,composite_intent,1
alt to this varsity in navy that works w baggy jeans,composite_intent,composite_intent,1
this sling bag in orange and shoes to go with it,composite_intent,composite_intent,1
cheaper one of this beanie plus what outerwear matches,composite_intent,composite_intent,1
similar jersey in green for these sneakers,composite_intent,composite_intent,1
calf length alpaca wrap coat with oversized lapels,similar_items,similar_items,1
dupe for this double faced wool cocoon coat,similar_items,similar_items,1
cheaper alternative to a belted camel hair overcoat,similar_items,similar_items,1
knee grazing herringbone topcoat with horn buttons,similar_items,similar_items,1
boxy boiled wool car coat,similar_items,similar_items,1
shawl collar teddy coat in a structured cut,similar_items,similar_items,1
minimal funnel neck puffer with matte hardware,similar_items,similar_items,1
quilted down coat with storm cuffs and side vents,similar_items,similar_items,1
dupe for this shearling trimmed parka,similar_items,similar_items,1
longline plaid wool coat with dropped shoulders,similar_items,similar_items,1
what scarf would balance this oversized charcoal wool coat,graph_pairing,graph_pairing,1
ankle boots to wear with this belted winter trench coat,graph_pairing,graph_pairing,1
which beanie works with this cropped ivory puffer,graph_pairing,graph_pairing,1
gloves to pair with a navy military peacoat with brass buttons,graph_pairing,graph_pairing,1
what trousers should I wear with this sweeping black maxi coat,graph_pairing,graph_pairing,1
handbag ideas for this taupe teddy overcoat,graph_pairing,graph_pairing,1
snow boots that go with this olive fishtail parka,graph_pairing,graph_pairing,1
what knitwear layers under this collarless wool coat,graph_pairing,graph_pairing,1
accessories for this cream shearling aviator jacket,graph_pairing,graph_pairing,1
what to wear with this burgundy quilted barn coat,graph_pairing,graph_pairing,1
do you have this duffle coat in forest green,color_variant,color_variant,1
same puffer in glacier blue please,color_variant,color_variant,1
is this wool overcoat available in espresso brown,color_variant,color_variant,1
this exact parka but in off white,color_variant,color_variant,1
can I get the teddy coat in dusty rose,color_variant,color_variant,1
black colorway for this belted coat,color_variant,color_variant,1
show the pea coat in ink navy,color_variant,color_variant,1
any merlot version of this long coat,color_variant,color_variant,1
swap this quilted coat to mushroom grey,color_variant,color_variant,1
does this cocoon coat come in oatmeal,color_variant,color_variant,1
good morning coat oracle,chit_chat,chit_chat,1
has my return label been emailed yet,chit_chat,chit_chat,1
what is the wind chill in Montreal right now,chit_chat,chit_chat,1
bonjour tiny fashion robot,chit_chat,chit_chat,1
my tracking page has not updated since Tuesday,chit_chat,chit_chat,1
crunchy snow goblin spreadsheet,chit_chat,chit_chat,1
can you tell me a joke about laundry,chit_chat,chit_chat,1
hi I am just browsing and procrastinating,chit_chat,chit_chat,1
why is my refund still pending,chit_chat,chit_chat,1
polar marmalade zip zap,chit_chat,chit_chat,1
find a lower priced version of this wool wrap coat and boots that work with it,composite_intent,composite_intent,1
show me coats like this puffer but in burgundy with a matching trapper hat,composite_intent,composite_intent,1
do you have this shearling parka in black and what pants should I wear with it,composite_intent,composite_intent,1
I want a dupe for this camel coat in petite sizing plus a scarf to style it,composite_intent,composite_intent,1
cheaper lookalike of this herringbone overcoat in grey and gloves to pair with it,composite_intent,composite_intent,1
same quilted winter coat in sage and a bag that matches the matte snaps,composite_intent,composite_intent,1
find similar teddy coats with a longer hem and show me sneakers to wear with them,composite_intent,composite_intent,1
this peacoat in cream if possible and loafers that go with the brass buttons,composite_intent,composite_intent,1
need an affordable alternative to this down coat but in chocolate and a hat for it,composite_intent,composite_intent,1
lookalikes for this belted maxi coat plus the charcoal colorway and office shoes to wear with it,composite_intent,composite_intent,1
puffer coat,similar_items,similar_items,1
longline parka,similar_items,similar_items,1
dupe for this coat,similar_items,similar_items,1
budget version of this parka,similar_items,similar_items,1
faux wool overcoat,similar_items,similar_items,1
cheaper alt for this puffer,similar_items,similar_items,1
cropped winter jacket,similar_items,similar_items,1
teddy coat,similar_items,similar_items,1
lookalike of this trench coat,similar_items,similar_items,1
quilted down coat,similar_items,similar_items,1
boots for this coat,graph_pairing,graph_pairing,1
what scarf goes w this parka,graph_pairing,graph_pairing,1
hat to wear w this puffer,graph_pairing,graph_pairing,1
layering pieces for this coat,graph_pairing,graph_pairing,1
pants that go w this overcoat,graph_pairing,graph_pairing,1
what bag fits this winter jacket,graph_pairing,graph_pairing,1
gloves for this look,graph_pairing,graph_pairing,1
outfit ideas w this coat,graph_pairing,graph_pairing,1
shoes to pair w this parka,graph_pairing,graph_pairing,1
what to wear under this coat,graph_pairing,graph_pairing,1
got this in black,color_variant,color_variant,1
navy one?,color_variant,color_variant,1
same coat in cream pls,color_variant,color_variant,1
do u have it in olive,color_variant,color_variant,1
red version of this,color_variant,color_variant,1
can i see the gray one,color_variant,color_variant,1
this parka but tan,color_variant,color_variant,1
show brown color,color_variant,color_variant,1
need this in burgundy,color_variant,color_variant,1
hey,chit_chat,chit_chat,1
yo u there,chit_chat,chit_chat,1
wheres my order,chit_chat,chit_chat,1
track my package pls,chit_chat,chit_chat,1
lol its freezing out,chit_chat,chit_chat,1
thx,chit_chat,chit_chat,1
hru,chit_chat,chit_chat,1
blah blah penguin mode,chit_chat,chit_chat,1
can u help me later,chit_chat,chit_chat,1
cheap dupe for this coat n boots for it,composite_intent,composite_intent,1
same jacket in black w a scarf too,composite_intent,composite_intent,1
lookalike of this parka in navy,composite_intent,composite_intent,1
need a budget version of this puffer that goes w leggings,composite_intent,composite_intent,1
got this in cream to wear w these jeans,composite_intent,composite_intent,1
find me a similar overcoat n a bag for it,composite_intent,composite_intent,1
cheaper alt in gray plus shoes for the fit,composite_intent,composite_intent,1
this coat but red and what hat works w it,composite_intent,composite_intent,1
dupe of this winter jacket in olive pls,composite_intent,composite_intent,1
show a black version and gloves to go w it,composite_intent,composite_intent,1
waterproof trench coat,similar_items,similar_items,1
packable rain poncho,similar_items,similar_items,1
rubber ankle boots,similar_items,similar_items,1
stormproof bucket hat,similar_items,similar_items,1
clear dome umbrella,similar_items,similar_items,1
fleece lined slicker,similar_items,similar_items,1
water resistant crossbody,similar_items,similar_items,1
lightweight shell jacket,similar_items,similar_items,1
matte galoshes alternative,similar_items,similar_items,1
dupe for this raincoat please,similar_items,similar_items,1
Could you suggest trousers to wear with this rain jacket?,graph_pairing,graph_pairing,1
What bag would go nicely with these waterproof boots?,graph_pairing,graph_pairing,1
Please recommend a scarf to pair with this drizzle coat.,graph_pairing,graph_pairing,1
What should I wear with a glossy rain cape?,graph_pairing,graph_pairing,1
Could you find socks that work with these wellies?,graph_pairing,graph_pairing,1
What hat would complement this hooded parka?,graph_pairing,graph_pairing,1
Please show me bottoms for this puddleproof anorak.,graph_pairing,graph_pairing,1
Which tote would suit this rainy commute outfit?,graph_pairing,graph_pairing,1
Could you help me style this waterproof jacket with shoes?,graph_pairing,graph_pairing,1
What layers would you add under this shell for wet weather?,graph_pairing,graph_pairing,1
"Do you have this raincoat in olive, please?",color_variant,color_variant,1
Could I see the same umbrella in lavender?,color_variant,color_variant,1
Is this slicker available in cream?,color_variant,color_variant,1
Please show this boot in burgundy.,color_variant,color_variant,1
Do you offer this poncho in charcoal?,color_variant,color_variant,1
Could you change this jacket to mustard yellow?,color_variant,color_variant,1
"Same waterproof hat in forest green, please.",color_variant,color_variant,1
May I view this rain shell in pale blue?,color_variant,color_variant,1
Is there a copper version of this umbrella?,color_variant,color_variant,1
Please find this exact rain boot in white.,color_variant,color_variant,1
"Hello, hope you're having a good day.",chit_chat,chit_chat,1
"Good afternoon, could you help me?",chit_chat,chit_chat,1
Thank you so much.,chit_chat,chit_chat,1
Could you please tell me where my package is?,chit_chat,chit_chat,1
May I update my shipping address?,chit_chat,chit_chat,1
What is the forecast for tomorrow?,chit_chat,chit_chat,1
I appreciate your assistance.,chit_chat,chit_chat,1
Please cancel my order if possible.,chit_chat,chit_chat,1
"Raindrop pickle moonbeam, kindly.",chit_chat,chit_chat,1
Have a lovely evening.,chit_chat,chit_chat,1
Could you find a less expensive version of this raincoat and suggest boots to wear with it?,composite_intent,composite_intent,1
"Please show me lookalikes of this waterproof tote, but in navy.",composite_intent,composite_intent,1
Do you have this poncho in teal to coordinate with my rain boots?,composite_intent,composite_intent,1
Could you find a similar shell jacket in black and recommend trousers for it?,composite_intent,composite_intent,1
Please locate a budget-friendly umbrella like this one and a hat to pair with it.,composite_intent,composite_intent,1
Can I see this slicker in rose and also some bags that would go with it?,composite_intent,composite_intent,1
Please find an alternative to these galoshes in tan for wearing with my trench.,composite_intent,composite_intent,1
Could you show comparable waterproof coats in grey and scarves that complement them?,composite_intent,composite_intent,1
I would like a dupe for this rain hat in yellow plus a jacket to style with it.,composite_intent,composite_intent,1
"Please find a replacement for this anorak, preferably in plum, and shoes that suit it.",composite_intent,composite_intent,1
cream cable knit sweater,similar_items,similar_items,1
old money blazer dupe,similar_items,similar_items,1
camel wool coat alt,similar_items,similar_items,1
quiet luxury loafers,similar_items,similar_items,1
pleated ivory trousers,similar_items,similar_items,1
cashmere polo lookalike,similar_items,similar_items,1
navy tennis skirt dupe,similar_items,similar_items,1
pearl button cardigan,similar_items,similar_items,1
brown riding boots alternative,similar_items,similar_items,1
silk scarf replacement,similar_items,similar_items,1
what pants go w this tweed jacket,graph_pairing,graph_pairing,1
shoes for this cream knit pls,graph_pairing,graph_pairing,1
bag to wear w these loafers,graph_pairing,graph_pairing,1
jewelry for old money fit,graph_pairing,graph_pairing,1
top to go with these beige trousers,graph_pairing,graph_pairing,1
what do i wear with a navy blazer,graph_pairing,graph_pairing,1
coat for this preppy dress,graph_pairing,graph_pairing,1
belt that works w this polo,graph_pairing,graph_pairing,1
heels for this satin midi skirt,graph_pairing,graph_pairing,1
what to pair w my striped rugby,graph_pairing,graph_pairing,1
in ecru pls,color_variant,color_variant,1
got this in camel?,color_variant,color_variant,1
same thing but navy,color_variant,color_variant,1
white version?,color_variant,color_variant,1
make it chocolate brown,color_variant,color_variant,1
any burgundy colorway,color_variant,color_variant,1
this but in taupe,color_variant,color_variant,1
do u have grey,color_variant,color_variant,1
olive one pls,color_variant,color_variant,1
same in pale blue,color_variant,color_variant,1
hi lol,chit_chat,chit_chat,1
is it raining rn,chit_chat,chit_chat,1
thanks bestie,chit_chat,chit_chat,1
can i return this,chit_chat,chit_chat,1
blah blah yacht socks,chit_chat,chit_chat,1
u there?,chit_chat,chit_chat,1
my code isnt working,chit_chat,chit_chat,1
lol idk what im doing,chit_chat,chit_chat,1
find a cheaper dupe of this cardigan in cream,composite_intent,composite_intent,1
show loafers like these and socks to wear w them,composite_intent,composite_intent,1
same blazer in navy and pants that go with it,composite_intent,composite_intent,1
need a lookalike of this trench but darker beige,composite_intent,composite_intent,1
dupe for these riding boots plus a bag to pair,composite_intent,composite_intent,1
this polo in white and shorts to match,composite_intent,composite_intent,1
cheaper version of the cashmere sweater and cute trousers w it,composite_intent,composite_intent,1
find similar pearl earrings but gold tone,composite_intent,composite_intent,1
old money skirt like this in black and what top,composite_intent,composite_intent,1
alt for this silk scarf and a coat that works w it,composite_intent,composite_intent,1
quilted flap bag dupe,similar_items,similar_items,1
bougie top handle twin,similar_items,similar_items,1
lowkey luxe tote alternative,similar_items,similar_items,1
mini crescent purse lookalike,similar_items,similar_items,1
designer saddle bag dupe,similar_items,similar_items,1
old money shoulder bag,similar_items,similar_items,1
affordable chain strap bag,similar_items,similar_items,1
logo clutch replacement,similar_items,similar_items,1
structured box bag vibe,similar_items,similar_items,1
croissant bag dupe,similar_items,similar_items,1
what heels eat with this fancy bag,graph_pairing,graph_pairing,1
fit ideas with my pearl handle purse,graph_pairing,graph_pairing,1
jewelry to run with this logo tote,graph_pairing,graph_pairing,1
what coat should I pair with this luxe clutch,graph_pairing,graph_pairing,1
pants that hit with this chain bag,graph_pairing,graph_pairing,1
shoes to wear with this mini designer purse,graph_pairing,graph_pairing,1
airport outfit for this bougie carryall,graph_pairing,graph_pairing,1
date night pieces for this satin evening bag,graph_pairing,graph_pairing,1
sunglasses that vibe with this leather hobo,graph_pairing,graph_pairing,1
what dress goes hard with this gold clasp bag,graph_pairing,graph_pairing,1
same purse in oxblood pls,color_variant,color_variant,1
got this in cream or nah,color_variant,color_variant,1
need the beige colorway,color_variant,color_variant,1
this bag but emerald,color_variant,color_variant,1
any chocolate brown version,color_variant,color_variant,1
silver one instead,color_variant,color_variant,1
does it come in blush pink,color_variant,color_variant,1
swap to ivory,color_variant,color_variant,1
need it in burgundy,color_variant,color_variant,1
same style in cobalt,color_variant,color_variant,1
yo wassup,chit_chat,chit_chat,1
my package ghosted me,chit_chat,chit_chat,1
hey bestie,chit_chat,chit_chat,1
where my refund at fr,chit_chat,chit_chat,1
lol what even is fashion,chit_chat,chit_chat,1
bruh my tracking ain't moving,chit_chat,chit_chat,1
zaza glitter pancake,chit_chat,chit_chat,1
good morning queen,chit_chat,chit_chat,1
can u tell me a joke,chit_chat,chit_chat,1
find a cheaper dupe of this vanity bag and heels to style it with,composite_intent,composite_intent,1
show me a lookalike of this designer tote but make it forest green,composite_intent,composite_intent,1
do they make this shoulder bag in white to go with my linen set,composite_intent,composite_intent,1
need a budget version of this clutch in silver plus earrings that match,composite_intent,composite_intent,1
find me this bag's twin in tan and a blazer to wear with it,composite_intent,composite_intent,1
any dupe for this crescent purse that works with chunky loafers,composite_intent,composite_intent,1
this crossbody in red and what outfit would slap with it,composite_intent,composite_intent,1
"cheaper version of this quilted bag, preferably black, and a coat pairing",composite_intent,composite_intent,1
similar luxe satchel but in navy for my gold sandals,composite_intent,composite_intent,1
get me a dupe of this logo bag and sunglasses that don't look busted with it,composite_intent,composite_intent,1
techwear cargo pants,similar_items,similar_items,1
cyberpunk trench coat,similar_items,similar_items,1
reflective shell jacket,similar_items,similar_items,1
modular harness vest,similar_items,similar_items,1
utility shoulder bag,similar_items,similar_items,1
neon-accented combat boots,similar_items,similar_items,1
matte black face visor,similar_items,similar_items,1
ripstop hooded anorak,similar_items,similar_items,1
tactical belt pouch set,similar_items,similar_items,1
dupe for this chrome bomber,similar_items,similar_items,1
What boots should I wear with this long techwear coat?,graph_pairing,graph_pairing,1
Could you suggest a bag to pair with this neon harness?,graph_pairing,graph_pairing,1
What pants would match this reflective jacket?,graph_pairing,graph_pairing,1
Which sneakers go with this cyberpunk hoodie?,graph_pairing,graph_pairing,1
What accessories work with this armored vest?,graph_pairing,graph_pairing,1
Please recommend a mask to wear with this street-tech outfit.,graph_pairing,graph_pairing,1
What should I layer under this oversized shell jacket?,graph_pairing,graph_pairing,1
Could you suggest gloves to go with this black cargo set?,graph_pairing,graph_pairing,1
What belt would suit this utility trench?,graph_pairing,graph_pairing,1
What shoes would pair with these tapered cargo trousers?,graph_pairing,graph_pairing,1
Do you have this jacket in black?,color_variant,color_variant,1
Could I get this in white?,color_variant,color_variant,1
Any chance of a red version of this vest?,color_variant,color_variant,1
Is this coat available in cobalt blue?,color_variant,color_variant,1
Do you have the same pants in olive?,color_variant,color_variant,1
Can I see this bag in silver?,color_variant,color_variant,1
Please show me this visor in matte grey.,color_variant,color_variant,1
Is there a purple option for this hoodie?,color_variant,color_variant,1
Do you carry this in charcoal?,color_variant,color_variant,1
Could you make this boot in all-black?,color_variant,color_variant,1
hello,chit_chat,chit_chat,1
good afternoon,chit_chat,chit_chat,1
where is my order,chit_chat,chit_chat,1
my package seems delayed,chit_chat,chit_chat,1
thanks,chit_chat,chit_chat,1
can you help me,chit_chat,chit_chat,1
weather check,chit_chat,chit_chat,1
skrrt banana,chit_chat,chit_chat,1
lol,chit_chat,chit_chat,1
good night,chit_chat,chit_chat,1
Could you show me a black version of this armored coat and suggest boots to match it?,composite_intent,composite_intent,1
Please find a cheaper dupe for this neon jacket in white.,composite_intent,composite_intent,1
"Do you have this exact visor in red, and what gloves go with it?",composite_intent,composite_intent,1
"I would like a lookalike of this techwear bag, but in silver, please.",composite_intent,composite_intent,1
Could you suggest a replacement for this harness and also recommend pants to wear with it?,composite_intent,composite_intent,1
Show me a navy version of this shell jacket with shoes to pair.,composite_intent,composite_intent,1
"I need a dupe for this trench in matte black, plus a belt that works with it.",composite_intent,composite_intent,1
Could you find a cheaper alternative to this hoodie and a mask to wear with it?,composite_intent,composite_intent,1
Please show me this vest in olive and tell me what boots fit the look.,composite_intent,composite_intent,1
"A similar coat to this one in charcoal, and accessories to complete the outfit.",composite_intent,composite_intent,1
baggy 90s carpenter jeans,similar_items,similar_items,1
vintage baby tee dupe,similar_items,similar_items,1
chunky platform mary janes,similar_items,similar_items,1
ribbed 90s tank top,similar_items,similar_items,1
old school windbreaker,similar_items,similar_items,1
grunge plaid mini skirt,similar_items,similar_items,1
90s claw clip,similar_items,similar_items,1
denim midi skirt dupe,similar_items,similar_items,1
tiny oval sunglasses,similar_items,similar_items,1
retro mesh long sleeve,similar_items,similar_items,1
what jeans go w this baby tee,graph_pairing,graph_pairing,1
shoes for this plaid skirt pls,graph_pairing,graph_pairing,1
what jacket with these platform sandals,graph_pairing,graph_pairing,1
bag to wear w this slip dress,graph_pairing,graph_pairing,1
tops that go with these cargo pants,graph_pairing,graph_pairing,1
necklace for this 90s tube top,graph_pairing,graph_pairing,1
what to wear w a velvet choker,graph_pairing,graph_pairing,1
outerwear for this grunge fit,graph_pairing,graph_pairing,1
which boots w this denim dress,graph_pairing,graph_pairing,1
layering piece for this mesh top,graph_pairing,graph_pairing,1
in black pls,color_variant,color_variant,1
got this in brown?,color_variant,color_variant,1
same one but burgundy,color_variant,color_variant,1
cream color?,color_variant,color_variant,1
need it in forest green,color_variant,color_variant,1
pink version thx,color_variant,color_variant,1
this in washed grey,color_variant,color_variant,1
navy blue one,color_variant,color_variant,1
any leopard colorway?,color_variant,color_variant,1
make it white,color_variant,color_variant,1
yo whats up,chit_chat,chit_chat,1
lol idk,chit_chat,chit_chat,1
brb coffee,chit_chat,chit_chat,1
can u cancel my order,chit_chat,chit_chat,1
blah blah scrunchie moon,chit_chat,chit_chat,1
good morninggg,chit_chat,chit_chat,1
u real?,chit_chat,chit_chat,1
cheap dupe of this bomber in olive,composite_intent,similar_items,0
similar 90s jeans but what belt goes w them,composite_intent,composite_intent,1
this slip dress in wine and heels to wear w it,composite_intent,composite_intent,1
find a knockoff of this bucket hat plus sunglasses for it,composite_intent,composite_intent,1
same cardigan in lilac and a skirt to match,composite_intent,composite_intent,1
lookalike of these doc style boots but in cherry red,composite_intent,similar_items,0
cheaper version of this flannel and pants that vibe w it,composite_intent,composite_intent,1
this crop top in teal n what jacket fits over it,composite_intent,composite_intent,1
dupe for the nylon shoulder bag in silver,composite_intent,similar_items,0
"similar velvet dress, black if possible, plus shoes",composite_intent,composite_intent,1
ivory cricket sweater dupe ASAP,similar_items,similar_items,1
chunky argyle pullover alternative now,similar_items,similar_items,1
crest-button knit blazer lookalike,similar_items,similar_items,1
tennis-club cardigan replacement quick,similar_items,similar_items,1
varsity stripe sweater vest copy,similar_items,similar_items,1
pearl-trim knit top dupe please,similar_items,similar_items,1
heritage cable crewneck substitute,similar_items,similar_items,1
preppy ribbed polo knit twin ASAP,similar_items,similar_items,1
collegiate V-neck jumper duplicate,similar_items,similar_items,1
nautical stripe knitwear cheaper swap,similar_items,similar_items,1
skirt to wear with this argyle sweater vest fast,graph_pairing,graph_pairing,1
what loafers go with this cable-knit cardigan right now,graph_pairing,graph_pairing,1
shirt to layer under this cricket jumper ASAP,graph_pairing,graph_pairing,1
bottoms for this prep-school knit blazer hurry,graph_pairing,graph_pairing,1
bag that works with this striped knit polo urgently,graph_pairing,graph_pairing,1
jewelry to pair with this pearl-button cardigan,graph_pairing,graph_pairing,1
coat over this varsity sweater for tomorrow,graph_pairing,graph_pairing,1
pants to match this navy cable pullover quickly,graph_pairing,graph_pairing,1
shoes for this tennis sweater look need now,graph_pairing,graph_pairing,1
collared blouse for under this cropped cardigan ASAP,graph_pairing,graph_pairing,1
in burgundy immediately,color_variant,color_variant,1
navy colorway pls quick,color_variant,color_variant,1
do you have this in oat,color_variant,color_variant,1
forest green version now,color_variant,color_variant,1
same knit in cream ASAP,color_variant,color_variant,1
camel shade only,color_variant,color_variant,1
swap to heather gray,color_variant,color_variant,1
need the charcoal one,color_variant,color_variant,1
is there a powder blue option,color_variant,color_variant,1
maroon please hurry,color_variant,color_variant,1
hi quick question,chit_chat,chit_chat,1
hello are you there,chit_chat,chit_chat,1
where is my package urgently,chit_chat,chit_chat,1
need tracking update now,chit_chat,chit_chat,1
what's the temperature outside,chit_chat,chit_chat,1
good morning hurry,chit_chat,chit_chat,1
cancel my order asap,chit_chat,chit_chat,1
blip blop cardigan comet,chit_chat,chit_chat,1
can someone answer me,chit_chat,chit_chat,1
thanks bye gotta run,chit_chat,chit_chat,1
Find a cheaper dupe for this argyle cardigan and shoes to wear with it ASAP.,composite_intent,composite_intent,1
